name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Washington,2010-09-20,26.6,18.8,22.5,26.6,18.8,22.5,9.5,48.4,0,,0,,,,38.9,25.3,176.5,1017.3,21.7,16,,,0,,2010-09-20T06:53:53,2010-09-20T19:08:32,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-21,26.7,13.5,20.1,26.5,13.5,20.1,9.5,52.01,0,,0,,,,,16.8,148.2,1021.9,2,16,,,0,,2010-09-21T06:54:47,2010-09-21T19:06:55,0.48,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-22,34,19.9,25.8,35.5,19.9,26.6,17.3,60.39,0,,0,,,,35.3,23.5,173.5,1018.1,37.1,15.9,,,0,,2010-09-22T06:55:41,2010-09-22T19:05:19,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-23,33.1,21.6,26.9,34.2,21.6,27.5,18.9,63.67,0,,0,,,,,15.7,113.7,1020.6,40.7,15.7,,,0,,2010-09-23T06:56:36,2010-09-23T19:03:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-24,36.7,22.5,28.3,36.7,22.5,28.7,18.8,61.05,0,,0,,,,44,28.8,161.3,1017.6,34.2,12.5,,,0,,2010-09-24T06:57:30,2010-09-24T19:02:06,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-25,33.7,23,27.6,33.1,23,27.6,15.3,48.37,0,,0,,,,29.5,22,207.5,1011.8,47.4,15.3,,,0,,2010-09-25T06:58:25,2010-09-25T19:00:30,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-26,24.9,17,20.8,24.9,17,20.8,12.3,59.53,0.36,,8.33,,,,,22.8,112.9,1015.6,96.8,16,,,0,,2010-09-26T06:59:19,2010-09-26T18:58:54,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-27,25.7,17.8,21.9,25.7,17.8,21.9,19.7,87.61,7.81,,66.67,,,,52.5,31.1,109.6,1011.5,98.9,14,,,0,,2010-09-27T07:00:14,2010-09-27T18:57:18,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-28,28.1,20.7,24,28,20.7,24.1,17.4,69.03,0.02,,4.17,,,,45,30.6,201.2,1005.7,87.9,16,,,0,,2010-09-28T07:01:10,2010-09-28T18:55:43,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-29,20.6,15.8,18.3,20.6,15.8,18.3,12.9,71.13,1.91,,20.83,,,,,15.2,174.5,1013.6,77.8,15.6,,,0,,2010-09-29T07:02:05,2010-09-29T18:54:08,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-09-30,26.7,18.1,22.5,26.7,18.1,22.5,20.7,89.84,111.41,,91.67,,,,61.3,43.6,138.2,1004,99.7,9.7,,,0,,2010-09-30T07:03:01,2010-09-30T18:52:33,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-01,22.9,16.5,19.3,22.9,16.5,19.3,12,64.97,16.98,,25,,,,53.2,35.8,290.8,1006.8,67.5,15.5,,,0,,2010-10-01T07:03:56,2010-10-01T18:50:58,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-02,21.6,10.7,16.5,21.6,10.7,16.5,7.1,55.27,0,,0,,,,,20,173.6,1015.4,4.1,16,,,0,,2010-10-02T07:04:52,2010-10-02T18:49:24,0.83,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-03,18,11.5,14.7,18,11.5,14.7,10.5,76.77,8.54,,29.17,,,,,25.5,57.3,1016.9,73.1,14.8,,,0,,2010-10-03T07:05:49,2010-10-03T18:47:50,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-04,13.1,10.6,11.9,13.1,10.6,11.9,9.1,83.25,12.03,,58.33,,,,38.9,27,269.6,1019.8,94,12.5,,,0,,2010-10-04T07:06:45,2010-10-04T18:46:16,0.93,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-05,16.6,9.9,12.9,16.6,7.2,12.6,6.2,64.33,0,,0,,,,38.9,31.7,303.6,1019.1,92.4,16,,,0,,2010-10-05T07:07:42,2010-10-05T18:44:43,0.97,Overcast,Cloudy skies throughout the day.,wind,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-06,15.8,11.6,13.6,15.8,11.6,13.6,6.8,63.74,0.68,,4.17,,,,34.9,22.1,264.1,1014.4,92.6,16,,,0,,2010-10-06T07:08:39,2010-10-06T18:43:10,0.99,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-07,24.1,10.6,17.3,24.1,10.6,17.2,8.4,59.94,0,,0,,,,42.4,26.3,257.3,1010.8,27.9,15.9,,,0,,2010-10-07T07:09:36,2010-10-07T18:41:38,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-08,25.7,11.7,18.9,25.7,11.7,18.9,7.4,49.85,0,,0,,,,,18.1,226.5,1016.4,0,16,,,0,,2010-10-08T07:10:34,2010-10-08T18:40:07,0,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-09,28,12.6,19.3,26.9,12.6,19.2,9.8,58.88,0,,0,,,,28.3,21.7,212.2,1014.8,22.2,16,,,0,,2010-10-09T07:11:32,2010-10-09T18:38:36,0.02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-10,24.9,12.9,18.6,24.9,12.9,18.6,11,62.04,0,,0,,,,,20,130.5,1013.7,11.4,16,,,0,,2010-10-10T07:12:30,2010-10-10T18:37:05,0.05,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-11,30.7,16.6,22.5,29.4,16.6,22.3,14.2,63.38,0,,0,,,,29.5,17.9,164.1,1009.7,66.2,16,,,0,,2010-10-11T07:13:28,2010-10-11T18:35:35,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-12,28,17.4,21.1,27.7,17.4,21.1,13.6,64.45,0,,0,,,,42.1,16.1,205.5,1009.5,44.2,15.9,,,0,,2010-10-12T07:14:27,2010-10-12T18:34:06,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-13,20.8,11.8,16.1,20.8,11.8,16.1,6.3,53.6,0,,0,,,,,21.3,55,1016,28,16,,,0,,2010-10-13T07:15:26,2010-10-13T18:32:38,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington,2010-10-14,15.7,12,13.9,15.7,12,13.9,10.7,81.5,33.66,,37.5,,,,35.3,24.1,186,1011.3,80.8,13.4,,,0,,2010-10-14T07:16:26,2010-10-14T18:31:10,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
